 Date ,Vacancy,OccupiedRentals,Revenue,Sum of ConstructionSpending,ConstructionStartedRental,ConstructionInProcessRental,ConstructionStartedTotal,ConstructionInProcessTotal,Rate
9/30/12,3802,39561,50106,26501,23.6,231.5,75.8,523.5,1.65
10/31/12,3820.245633,39632.53723,50198.16371,27771,25.1,237,77,528.8,1.72
11/30/12,3838.578827,39704.20382,50290.49694,24338,21.3,247.7,62.2,535.2,1.62
12/31/12,3857,39776,50383,21860,23.8,255.7,63.2,532.5,1.78
1/31/13,3836.221597,39881.38719,49762.72843,20401,18.6,262.9,58.7,543.1,2.02
2/28/13,3815.555131,39987.05361,49150.0931,20279,21.1,278,66.1,563.6,1.89
3/31/13,3795,40093,48545,23883,28.7,291,83.3,584.3,1.87
4/30/13,3736.778006,40143.93526,49853.10173,26333,19.8,295.6,76.3,605.3,1.7
5/31/13,3679.449241,40194.93524,51196.4518,27976,28.3,307.7,87.2,627.7,2.16
6/30/13,3623,40246,52576,29795,18.8,307.1,80.7,640.4,2.52
7/31/13,3643.220272,40164.16705,52852.21301,30732,25,312.7,84,655.6,2.6
8/31/13,3663.553396,40082.5005,53129.87714,31565,22.8,316.7,80.4,665.1,2.78
9/30/13,3684,40001,53409,31120,26.5,325.5,78.4,673.6,2.64
10/31/13,3669.946457,40061.57489,53360.62286,32103,28.3,336.4,78.4,677.5,2.57
11/30/13,3655.946526,40122.24151,53312.28954,28767,32.2,350.5,83.8,690.1,2.75
12/31/13,3642,40183,53264,26264,23.7,359.3,67.6,688.7,3.04
1/31/14,3670.772099,40298.33531,53365.80529,24487,21.5,366.7,60.7,693.4,2.67
2/28/14,3699.771501,40414.00166,53467.80517,23867,23.8,369.5,65.1,694.9,2.66
3/31/14,3729,40530,53570,28360,24.5,379.6,80.2,711.9,2.73
4/30/14,3603.846568,40641.36041,54168.61913,31002,33.3,396.3,94.9,742.4,2.67
5/31/14,3482.89356,40753.0268,54773.92755,32678,30.8,407.3,92.5,760.9,2.48
6/30/14,3366,40865,55386,34143,24.7,418.5,87.3,782.8,2.53
7/31/14,3365.333201,41006.17837,55855.01708,34539,38.3,436.1,101,808.6,2.58
8/31/14,3364.666535,41147.84447,56328.00587,34510,26.7,428.5,86.2,804.7,2.35
9/30/14,3364,41290,56805,34604,34.7,433,94.2,810.2,2.52
10/31/14,3319.753924,41621.33408,56885.21999,35218,32,436.3,92,814.7,2.35
11/30/14,3276.089809,41955.32697,56965.55327,32033,27.8,446.7,75.8,818.4,2.18
12/31/14,3233,42292,57046,29418,23.8,450.2,73.4,806.6,2.17
1/31/15,3255.509581,42361.88446,56523.9029,27167,26.2,454.5,73,811.3,1.68
2/28/15,3278.175884,42431.88439,56006.58414,27329,20.7,459.4,61.9,808.8,2
3/31/15,3301,42502,55494,32097,25.2,471.1,79.7,827.6,1.94
4/30/15,3265.962759,42631.93569,57070.77414,34446,37.4,492.5,108.5,866.2,2.05
5/31/15,3231.297408,42762.26862,58692.34982,36721,32.3,500.1,99.6,885.9,2.12
6/30/15,3197,42893,60360,39765,41.8,509.7,112.3,908.5,2.35
7/31/15,3261.041888,42805.15354,60321.6423,40808,34.5,510.1,107.2,926.8,2.2
8/31/15,3326.366656,42717.487,60283.30897,40293,32.2,509,99.2,932.6,2.21
9/30/15,3393,42630,60245,40158,45.5,524.4,111.6,953.1,2.06
10/31/15,3339.838069,42624.33258,60915.83577,40327,30.9,525.5,90.9,951.7,2.16
11/30/15,3287.509086,42618.66591,61594.14137,36672,32.5,540.7,89.9,967.7,2.21
12/31/15,3236,42613,62280,32979,26.7,542.3,78.1,950.8,2.27
1/31/16,3247.293871,42707.12527,61840.23543,29959,22.9,540.3,74.3,950.2,1.94
2/29/16,3258.627159,42801.45845,61403.57607,30831,25.3,543.8,84.1,958.6,1.74
3/31/16,3270,42896,60970,36699,27.8,550.8,90.7,969.4,1.78
4/30/16,3251.899998,43223.16506,61284.04629,38186,32.6,559.9,106.2,994.2,1.83
5/31/16,3233.900183,43552.82538,61599.71018,40441,34.3,576.2,105,1018.4,1.84
6/30/16,3216,43885,61917,43255,35,577.1,111.6,1028.6,1.49
7/31/16,3216.333299,43684.75434,62312.46873,44412,41.8,590.3,115.2,1050.8,1.46
8/31/16,3216.666632,43485.4224,62710.46335,43568,34.8,590.5,102.8,1049.4,1.58
9/30/16,3217,43287,63111,43227,26.2,589.5,95,1051.6,1.6
10/31/16,3217.333299,43216.55208,63620.8697,44447,40.2,596.5,114.5,1061.4,1.84
11/30/16,3217.666632,43146.21881,64134.85861,41176,27,590.8,87.8,1049.9,2.37
12/31/16,3218,43076,64653,36962,32.8,600.7,86.5,1039,2.45
1/31/17,3241.166162,43146.21881,64556.8571,33735,29,610.9,82.3,1045.8,2.45
2/28/17,3264.499095,43216.55208,64460.85717,34436,27.7,609.5,87.8,1051.1,2.36
3/31/17,3288,43287,64365,41359,27,607.2,97.1,1052.6,2.4
4/30/17,3347.580511,43252.30553,64877.57392,42813,26.8,610.6,105.2,1071.4,2.29
5/31/17,3408.240657,43217.63887,65394.22975,45108,28,606.1,106,1077.5,2.21
6/30/17,3470,43183,65915,49081,31.9,601,116.3,1083.4,2.31
7/31/17,3496.792596,43101.513,66243.36152,49191,31.9,600.7,112.3,1092.6,2.3
8/31/17,3523.792064,43020.17976,66573.3588,48394,23.8,592.6,102.6,1095.9,2.12
9/30/17,3551,42939,66905,48257,30.2,598,104.4,1106.4,2.33
10/31/17,3435.625321,42959.32371,67425.9334,47251,32.3,598.8,109.6,1110.3,2.38
11/30/17,3323.999253,42979.65704,67950.92287,44531,28.1,601.2,97.9,1113.2,2.42
12/31/17,3216,43000,68480,39821,26.1,593.7,81.4,1080.5,2.4
1/31/18,3232.251075,43000.33333,68249.22316,37034,30.8,601.9,91.6,1088.5,2.72
2/28/18,3248.58427,43000.66666,68019.22403,37919,26.1,602,89.7,1090.7,2.87
3/31/18,3265,43001,67790,43450,33.3,607.2,107.5,1102.1,2.74